Long,Short,_long,_short,Trades_WT,NetWR_WT,AvgNet_WT,AvgHold_WT,Trades_CT,NetWR_CT,AvgNet_CT,AvgHold_CT,Aligned%,Best Dir,EstCost
FTSE 100,CAC 40,UKX,CBK,16,0.3125,-0.0006863183936764081,7.3125,145,0.15172413793103448,-0.00887002425494272,10.8,0.09937888198757763,Neither,0.00176
FTSE 100,FTSE MIB,UKX,CEY,18,0.0,-0.015030028529733171,11.5,161,0.06832298136645963,-0.013998314783056515,9.5527950310559,0.1005586592178771,Neither,0.0034600000000000004
FTSE 100,DAX,UKX,CFR,25,0.4,-0.0070037514636372275,11.76,98,0.2755102040816326,-0.009969426823301528,14.071428571428571,0.2032520325203252,Neither,0.0012000000000000001
FTSE 100,IBEX 35,UKX,CMD,16,0.375,-0.008568494062982799,15.1875,110,0.2818181818181818,-0.00845732761183431,11.672727272727272,0.12698412698412698,Neither,0.00186
FTSE 100,STOXX 50,UKX,CEI,13,0.07692307692307693,-0.018801421389497044,16.384615384615383,99,0.1414141414141414,-0.008953860845820475,9.656565656565656,0.11607142857142858,Neither,0.00236
FTSE 100,SMI,UKX,COI,21,0.3333333333333333,-0.003426571603441648,7.380952380952381,137,0.22627737226277372,-0.006862463597813473,10.335766423357665,0.13291139240506328,Neither,0.0016
FTSE 100,HSI,UKX,CRM,43,0.46511627906976744,-0.0029405104391362347,8.255813953488373,146,0.5273972602739726,-0.0020707372884481564,8.582191780821917,0.2275132275132275,Neither,0.00176
FTSE 100,ASX 200,UKX,CIL,19,0.5789473684210527,0.0043182606193433205,4.7894736842105265,246,0.6016260162601627,0.002723127678709266,4.804878048780488,0.07169811320754717,Both,0.00176
FTSE 100,NASDAQ 100,UKX,CPH,37,0.7027027027027027,0.007420278103048992,4.864864864864865,191,0.6492146596858639,0.0010939893839112212,8.167539267015707,0.16228070175438597,Both,0.00096
FTSE 100,S&P 500,UKX,CTN,17,0.7647058823529411,0.011922362100756945,4.588235294117647,216,0.6342592592592593,0.0037364151663898506,6.388888888888889,0.07296137339055794,Both,0.0009400000000000001
FTSE 100,Dow Jones,UKX,CTB,20,0.65,0.006356841081058431,6.7,209,0.6411483253588517,0.003528635993217175,6.655502392344498,0.08733624454148471,Both,0.00102
CAC 40,FTSE MIB,CBK,CEY,28,0.07142857142857142,-0.012887995279114878,10.785714285714286,145,0.020689655172413793,-0.014918093186205968,9.10344827586207,0.16184971098265896,Neither,0.0037
CAC 40,DAX,CBK,CFR,16,0.25,-0.0029741450933703844,11.6875,124,0.16129032258064516,-0.008342501741132238,11.137096774193548,0.11428571428571428,Neither,0.00144
CAC 40,IBEX 35,CBK,CMD,10,0.2,-0.01002314322536728,15.2,140,0.12142857142857143,-0.00951349354553265,10.32857142857143,0.06666666666666667,Neither,0.0021000000000000003
CAC 40,STOXX 50,CBK,CEI,14,0.07142857142857142,-0.00926178989783589,5.785714285714286,108,0.09259259259259259,-0.009632364322188855,9.277777777777779,0.11475409836065574,Neither,0.0026
CAC 40,SMI,CBK,COI,26,0.3076923076923077,-0.006647642148264508,12.538461538461538,127,0.25984251968503935,-0.007034345373786353,9.67716535433071,0.16993464052287582,Neither,0.00184
CAC 40,HSI,CBK,CRM,41,0.3902439024390244,-0.0010316085726200634,7.536585365853658,152,0.4276315789473684,-0.003799937789883064,7.993421052631579,0.21243523316062177,Neither,0.002
CAC 40,ASX 200,CBK,CIL,41,0.5609756097560976,-0.0007318957671589127,7.121951219512195,227,0.5418502202643172,0.002207156731946837,4.942731277533039,0.15298507462686567,CT,0.002
CAC 40,NASDAQ 100,CBK,CPH,37,0.7027027027027027,0.00751034843310086,4.8108108108108105,148,0.6486486486486487,-0.0009058582748933322,8.493243243243244,0.2,WT,0.0012000000000000001
CAC 40,S&P 500,CBK,CTN,22,0.7272727272727273,0.007257910671849283,4.136363636363637,194,0.5824742268041238,0.0002670024314142557,7.494845360824742,0.10185185185185185,Both,0.00118
CAC 40,Dow Jones,CBK,CTB,24,0.5,0.0014028904419590964,7.833333333333333,182,0.5934065934065934,-0.0003003346073357272,7.686813186813187,0.11650485436893204,WT,0.00126
FTSE MIB,DAX,CEY,CFR,16,0.3125,-0.012482922603125848,12.4375,134,0.029850746268656716,-0.014182594546405533,10.552238805970148,0.10666666666666667,Neither,0.00314
FTSE MIB,IBEX 35,CEY,CMD,10,0.0,-0.012803433565796163,8.5,140,0.014285714285714285,-0.017048801083166046,9.742857142857142,0.06666666666666667,Neither,0.0038000000000000004
FTSE MIB,STOXX 50,CEY,CEI,8,0.0,-0.016179725824537194,5.875,93,0.03225806451612903,-0.01627216914610395,11.698924731182796,0.07920792079207921,Neither,0.0043
FTSE MIB,SMI,CEY,COI,20,0.2,-0.015307757567995614,13.35,132,0.08333333333333333,-0.014693606435144228,10.446969696969697,0.13157894736842105,Neither,0.00354
FTSE MIB,HSI,CEY,CRM,35,0.3142857142857143,-0.0031559929985438247,5.3428571428571425,153,0.2875816993464052,-0.011555929662405436,8.908496732026144,0.18617021276595744,Neither,0.0037
FTSE MIB,ASX 200,CEY,CIL,28,0.42857142857142855,0.0007435657651473045,4.642857142857143,233,0.2703862660944206,-0.006677536060815058,5.935622317596566,0.10727969348659004,WT,0.0037
FTSE MIB,NASDAQ 100,CEY,CPH,45,0.4,-0.004370344236141396,6.6,117,0.3418803418803419,-0.009176712373221804,10.435897435897436,0.2777777777777778,Neither,0.0029000000000000002
FTSE MIB,S&P 500,CEY,CTN,33,0.3939393939393939,-0.009549719496301325,11.303030303030303,146,0.2534246575342466,-0.007076878463941161,8.178082191780822,0.18435754189944134,Neither,0.00288
FTSE MIB,Dow Jones,CEY,CTB,27,0.2222222222222222,-0.013366180466679171,11.666666666666666,162,0.345679012345679,-0.005561174455879436,7.438271604938271,0.14285714285714285,Neither,0.00296
DAX,IBEX 35,CFR,CMD,18,0.2222222222222222,-0.009114494513453935,15.277777777777779,122,0.36065573770491804,-0.0072257977935010825,11.28688524590164,0.12857142857142856,Neither,0.0015400000000000001
DAX,STOXX 50,CFR,CEI,9,0.0,-0.006225934946759366,6.111111111111111,105,0.047619047619047616,-0.010161326162666167,11.276190476190477,0.07894736842105263,Neither,0.00204
DAX,SMI,CFR,COI,33,0.3333333333333333,-0.005864291162953151,12.151515151515152,106,0.41509433962264153,-0.008183074033857032,12.028301886792454,0.23741007194244604,Neither,0.00128
DAX,HSI,CFR,CRM,50,0.62,0.0057773709005072785,6.72,132,0.6439393939393939,0.001677870904224944,7.5606060606060606,0.27472527472527475,Both,0.00144
DAX,ASX 200,CFR,CIL,37,0.6756756756756757,0.003920530654878155,7.297297297297297,166,0.6626506024096386,0.0023777346214825983,6.632530120481928,0.18226600985221675,Both,0.00144
DAX,NASDAQ 100,CFR,CPH,19,0.7368421052631579,0.0016850496954860436,9.210526315789474,174,0.7241379310344828,0.002641442663823936,7.287356321839081,0.09844559585492228,Both,0.00064
DAX,S&P 500,CFR,CTN,44,0.7727272727272727,0.0031143062970142225,5.704545454545454,144,0.6527777777777778,0.0001983658412522996,9.51388888888889,0.23404255319148937,Both,0.00062
DAX,Dow Jones,CFR,CTB,57,0.8421052631578947,0.006355593343653263,4.333333333333333,153,0.6535947712418301,-0.0005423811190262304,8.777777777777779,0.2714285714285714,WT,0.0007
IBEX 35,STOXX 50,CMD,CEI,16,0.0625,-0.01624908786180708,17.5,94,0.07446808510638298,-0.010668911752353693,9.03191489361702,0.14545454545454545,Neither,0.0027
IBEX 35,SMI,CMD,COI,29,0.41379310344827586,-0.006835685817590583,13.172413793103448,120,0.24166666666666667,-0.009040136934402483,9.983333333333333,0.19463087248322147,Neither,0.00194
IBEX 35,HSI,CMD,CRM,25,0.48,-0.009328607347405326,14.48,143,0.5384615384615384,-0.0012636168275701356,7.881118881118881,0.1488095238095238,Neither,0.0021000000000000003
IBEX 35,ASX 200,CMD,CIL,23,0.4782608695652174,-0.0004174132311342915,5.608695652173913,181,0.5082872928176796,-0.00012491732995874007,6.569060773480663,0.11274509803921569,Neither,0.0021000000000000003
IBEX 35,NASDAQ 100,CMD,CPH,22,0.7272727272727273,0.0073654055828188325,5.045454545454546,174,0.5862068965517241,-0.0019801721520641153,8.959770114942529,0.11224489795918367,WT,0.0013000000000000002
IBEX 35,S&P 500,CMD,CTN,35,0.5714285714285714,0.0034764467099251614,6.6,142,0.528169014084507,-0.0024769465841410487,9.169014084507042,0.1977401129943503,WT,0.00128
IBEX 35,Dow Jones,CMD,CTB,19,0.5263157894736842,-0.005730340757100243,9.947368421052632,136,0.49264705882352944,-0.001234444809340917,8.573529411764707,0.12258064516129032,Neither,0.00136
STOXX 50,SMI,CEI,COI,17,0.17647058823529413,-0.008263755484336355,10.058823529411764,79,0.22784810126582278,-0.009372872836041624,10.734177215189874,0.17708333333333334,Neither,0.0024400000000000003
